brand_name,season,title,cover_image,show_url,year,category
Balmain,Pre Fall 2025 Menswear,Balmain,https://assets.vogue.com/photos/6751c3c3aaded209625d52b1/16:9/pass/00001-balmain-prefall-2025-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/pre-fall-2025-menswear/balmain,2025,Menswear
Balenciaga,Fall 2024 Couture,Balenciaga,https://assets.vogue.com/photos/668c011cd90113690da31f80/16:9/pass/00001-balenciaga-fall-2024-couture-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-couture/balenciaga,2024,Couture
Balenciaga,Fall 2024 Ready To Wear,Balenciaga,https://assets.vogue.com/photos/65e488728606d2b23c777ec8/16:9/pass/00001-balenciaga-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/balenciaga,2024,Ready-to-Wear
Bally,Fall 2024 Ready To Wear,Bally,https://assets.vogue.com/photos/65db6808bdf84a64e5a96991/16:9/pass/00001-bally-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/bally,2024,Ready-to-Wear
Bally,Fall 2025 Ready To Wear,Bally,https://assets.vogue.com/photos/67c305c1839c41524d19d0d9/16:9/pass/_UMB0007(1).jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/bally,2025,Ready-to-Wear
Bottega Veneta,Fall 2024 Ready To Wear,Bottega Veneta,https://assets.vogue.com/photos/65e8411e8f85559999cd6315/16:9/pass/00001-bottega-veneta-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/bottega-veneta,2024,Ready-to-Wear
Bottega Veneta,Pre Fall 2024,Bottega Veneta,https://assets.vogue.com/photos/660d7590ff88c12596450611/16:9/pass/00001-bottega-veneta-pre-fall-2024-credit-brand.jpg,https://www.vogue.com/fashion-shows/pre-fall-2024/bottega-veneta,2024,
Blumarine,Fall 2024 Ready To Wear,Blumarine,https://assets.vogue.com/photos/65d896ad5b31294b8d96f776/16:9/pass/00001-blumarine-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/blumarine,2024,Ready-to-Wear
Blumarine,Fall 2025 Ready To Wear,Blumarine,https://assets.vogue.com/photos/67c06570b9a6569122b8a2d4/16:9/pass/00001-blumarine-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/blumarine,2025,Ready-to-Wear
Brioni,Fall 2024 Menswear,Brioni,https://assets.vogue.com/photos/65a2997ee4db4242b89aedcf/16:9/pass/00001-brioni-fall-2024-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/brioni,2024,Menswear
Brioni,Fall 2024 Ready To Wear,Brioni,https://assets.vogue.com/photos/65d76aa688b2e355433d2d9d/16:9/pass/00001-brioni-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/brioni,2024,Ready-to-Wear
Brunello Cucinelli,Fall 2024 Menswear,Brunello Cucinelli,https://assets.vogue.com/photos/659ec1ce1947b0b2b0603683/16:9/pass/00001-brunello-cucinelli-fall-2024-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/brunello-cucinelli,2024,Menswear
Brunello Cucinelli,Fall 2024 Ready To Wear,Brunello Cucinelli,https://assets.vogue.com/photos/65d5e91f2014a87a48c64618/16:9/pass/00001-brunello-cucinelli-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/brunello-cucinelli,2024,Ready-to-Wear
Chanel,Fall 2024 Couture,Chanel,https://assets.vogue.com/photos/667a9f197e5fac7042e57651/16:9/pass/00001-chanel-fall-2024-couture-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-couture/chanel,2024,Couture
Chanel,Fall 2025 Couture,Chanel,https://assets.vogue.com/photos/686cedbf843612e37e9c3db2/16:9/pass/00001-chanel-fall-2025-couture-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-couture/chanel,2025,Couture
Chloe,Fall 2024 Ready To Wear,Chloé,https://assets.vogue.com/photos/65e09cb37deb0fee34cbc8ba/16:9/pass/00001-chloe-fall-2024-ready-to-wear-credit-gorunway.JPG,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/chloe,2024,Ready-to-Wear
Chloe,Fall 2025 Ready To Wear,Chloé,https://assets.vogue.com/photos/67cae104326365043c9c76a3/16:9/pass/00001-chloe-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/chloe,2025,Ready-to-Wear
Christian Dior,Fall 2024 Couture,Christian Dior,https://assets.vogue.com/photos/667991f6108db1dbb64073f8/16:9/pass/00001-christian-dior-fall-2024-couture-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-couture/christian-dior,2024,Couture
Christian Dior,Fall 2025 Couture,Christian Dior,https://assets.vogue.com/photos/68363d57f362cb02c0c0afe0/16:9/pass/00002-christian-dior-resort-2026-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-couture/christian-dior,2025,Couture
Coach,Fall 2024 Ready To Wear,Coach,https://assets.vogue.com/photos/65ca95845d11ce40a33e9fcd/16:9/pass/00001-coach-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/coach,2024,Ready-to-Wear
Coach,Fall 2025 Ready To Wear,Coach,https://assets.vogue.com/photos/67aa7d9e52e57d049e107844/16:9/pass/00001-coach-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/coach,2025,Ready-to-Wear
Comme des Garçons,Fall 2024 Ready To Wear,Comme des Garçons,https://assets.vogue.com/photos/65e36ea37b454d0642afaa8a/16:9/pass/00001-comme-des-garcons-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/comme-des-garcons,2024,Ready-to-Wear
Comme des Garçons,Fall 2025 Ready To Wear,Comme des Garçons,https://assets.vogue.com/photos/67cc8439b7892256b5d9e02c/16:9/pass/00001-comme-des-garcons-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/comme-des-garcons,2025,Ready-to-Wear
Courrèges,Fall 2024 Ready To Wear,Courrèges,https://assets.vogue.com/photos/65df85c1144fe440b1500527/16:9/pass/00001-courreges-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/courreges,2024,Ready-to-Wear
Courrèges,Fall 2025 Menswear,Courrèges,https://assets.vogue.com/photos/6784e6a4d9711d2b946be474/16:9/pass/00001-courreges-fall-2025-menswear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/courreges,2025,Menswear
D&G,Fall 2024 Ready To Wear,Dolce & Gabbana,https://assets.vogue.com/photos/65db4d55a6206052c3919ea0/16:9/pass/00001-dolce-&-gabbana-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/dolce-gabbana,2024,Ready-to-Wear
D&G,Fall 2025 Menswear,Dolce & Gabbana,https://assets.vogue.com/photos/678be88e71e9f75544e85204/16:9/pass/00001-dolce-and-gabbana-fall-2025-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/dolce-gabbana,2025,Menswear
Diane von Furstenberg,Fall 2025 Ready To Wear,Diane von Furstenberg,https://assets.vogue.com/photos/6842aa12998e794390196d7a/16:9/pass/00001-diane-von-furstenberg-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/diane-von-furstenberg,2025,Ready-to-Wear
Diane von Furstenberg,Resort 2024,Diane von Furstenberg,https://assets.vogue.com/photos/6526d2ca8d024afe7d4c009f/16:9/pass/00001-diane-von-furstenberg-resort-2024-credit-brand.jpg,https://www.vogue.com/fashion-shows/resort-2024/diane-von-furstenberg,2024,Resort
Diesel,Fall 2024 Ready To Wear,Diesel,https://assets.vogue.com/photos/65d76ceff213a379d50429fb/16:9/pass/00001-diesel-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/diesel,2024,Ready-to-Wear
Diesel,Fall 2025 Ready To Wear,Diesel,https://assets.vogue.com/photos/67c032f64ea8000ddcf9dd17/16:9/pass/00001-diesel-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/diesel,2025,Ready-to-Wear
Dion Lee,Shanghai Fall 2024,Dion Lee,https://assets.vogue.com/photos/660a5d8658ebd6f9ed2d51c5/16:9/pass/00001-dion-lee-fall-2024-ready-to-wear-shanghai-credit-brand.jpg,https://www.vogue.com/fashion-shows/shanghai-fall-2024/dion-lee,2024,
Dion Lee,Spring 2024 Ready To Wear,Dion Lee,https://assets.vogue.com/photos/64fda51f7fd5b30e516b8c2e/16:9/pass/00001-dion-lee-spring-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/dion-lee,2024,Ready-to-Wear
Dries Van Noten,Fall 2024 Menswear,Dries Van Noten,https://assets.vogue.com/photos/65aa4819cb6d609e27070a33/16:9/pass/00001-dries-van-noten-fall-2024-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/dries-van-noten,2024,Menswear
Dries Van Noten,Fall 2024 Ready To Wear,Dries Van Noten,https://assets.vogue.com/photos/65e0616b4c1d4bdd2d1fd600/16:9/pass/00001-dries-van-noten-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/dries-van-noten,2024,Ready-to-Wear
