show_url,image_url,image_type
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c60be4e7fe03ec4bd5a82b/master/w_1280%2Cc_limit/00001-rvng-couture-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c46b13672646a74e816cea/master/w_1280%2Cc_limit/00001-hui-fall-2025-ready-to-wear-credit-brand.JPG,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c324b084e16d398e1a552c/master/w_1280%2Cc_limit/00001-luisa-spagnoli-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c2d4e533a1a8ae093706dd/master/w_1280%2Cc_limit/00001-agl-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c0dc3c50ea11271afb58f7/master/w_1280%2Cc_limit/00001-genny-fall-2025-ready-to-wear-credit-brand-spon.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67c08d0dee5613eaf9e59517/master/w_1280%2Cc_limit/00001-anteprima-fall-2025-ready-to-wear-credit-brand-sponsored.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67bf3d6ac9555b836dcf473a/master/w_1280%2Cc_limit/00001-tagliatore-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67ace6cd1e11d68aadda7023/master/w_1280%2Cc_limit/00001-pamella-roland-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67aa4c71c75303b0a923c360/master/w_1280%2Cc_limit/00001-3.1-phillip-lim-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67a4d6b37b9e0219173242cc/master/w_1280%2Cc_limit/00001-cinq-a-sept-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67a1e5e6c6c0972ed4671d5b/master/w_1280%2Cc_limit/00001-bcbg-max-azria-fall-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67a1df612b5aaa3e0f7b9b41/master/w_1280%2Cc_limit/00001-natan-spring-2025-couture-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/679b946561b6e4abcb79c754/master/w_1280%2Cc_limit/00001-rami-al-ali-spring-2025-couture-credit-brand-spons.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/6798f7d04ecc46580cd320ef/master/w_1280%2Cc_limit/00001-didit-hediprasetyo-spring-2025-couture-credit-brand-spon.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67978ce14f258bb0b3234b2a/master/w_1280%2Cc_limit/00001-antonio-grimaldi-spring-2025-couture-detail-credit-brand-spon.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/6792838267ece8213737538b/master/w_1280%2Cc_limit/00001-songzio-fall-2025-menswear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/677f9eeb60b7d1a52681a09e/master/w_1280%2Cc_limit/00001-axel-arigato-fall-2025-menswear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/67587c89f0dd125c96fb184a/master/w_1280%2Cc_limit/00001-3.1-phillip-lim-pre-fall-2025-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/6757030fd2e51f78c7e0b42c/master/w_1280%2Cc_limit/00001-brett-johnso-fall-2025-menswear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/6752b4cb551475a90f1cf527/master/w_1280%2Cc_limit/00001-cinq-a-sept-pre-fall-2025-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/672e2eb007b91eb868f8fea2/master/w_1280%2Cc_limit/00001-rvng-couture-spring-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/6723871a7f95d6f4bbe25fad/master/w_1280%2Cc_limit/00001-spon-cong-tri-spring-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/670e8c9b6be7b30c3445bf45/master/w_1280%2Cc_limit/00001-sixdo-spring-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/featured,https://assets.vogue.com/photos/670d23f7cbecaa9dddd16aac/master/w_1280%2Cc_limit/00001-eenk-spring-2025-ready-to-wear-credit-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://www.vogue.com/verso/static/vogue-global/assets/logo-seo.png,hero
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5548fd6d5c2c95f5f49b1/master/w_320%2Cc_limit/00035-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5554465660b70c516f9b8/master/w_320%2Cc_limit/00042-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554b14d7308e08493a124/master/w_320%2Cc_limit/00049-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553d1e6fef1743f4f537/master/w_320%2Cc_limit/00035-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555461ff68a00813b519f/master/w_320%2Cc_limit/00045-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555342bbc74a9366195bc/master/w_320%2Cc_limit/00024-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55537cf31eedb33ffb03c/master/w_320%2Cc_limit/00027-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55490c5434c12f5ccaded/master/w_320%2Cc_limit/00036-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552a0eca02817bdb2c87/master/w_320%2Cc_limit/00013-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
